cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-1219055,C6H11O2,C6H11O2,CH3C(O)CH(O&middot;)C3H7,"","",CH3C(O)CH(O&middot;)C3H7,"{""Jeff Manion""}","{""2005-12-19 18:18:51""}",,
-1219056,C6H11O2,C6H11O2,CH3CH2C(O)CH(O&middot;)C2H5,"","",CH3CH2C(O)CH(O&middot;)C2H5,"{""Jeff Manion""}","{""2005-12-19 18:19:34""}",,
76392499,Al(CH3),CH3Al,Al(CH3),Monomethyl aluminum ,Methyl aluminum,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1219057,B,B,"B(^2P1/2,3/2) [Mix of states]",Mix of spin orbit states,"","B(^2P1/2,3/2) [Mix of states]","{""Jeff Manion""}","{""2005-12-19 21:37:59""}",,
107222,C2H2O2,C2H2O2,(CHO)2,"1,2-ethanedione, ethanedial","",glyoxal,"{""Jeff Manion""}","{""2005-12-20 21:40:00""}",,
-36320146,C8H14,C8H14,CH3C(CH3)2CH=CHCH=CH2,"5,5-dimethyl-1,3-hexadiene (mixture of E- and Z-isomers)5,5-dimethylhexa-1,3-diene (mixture of E- and Z-isomers)5,5-dimethyl-1,3-hexadiene",,,{NULL},"{""1999-01-01 12:00:00""}",,
78988,CH3C(O)CHO,C3H4O2,CH3C(O)CHO,"1,2-propanedione, Pyruvaldehyde",2-oxopropanal,methylglyoxal,"{""Jeff Manion""}","{""2005-12-20 22:17:24""}",,
-1222051,C6H5O2,C6H5O2,2-oxepinoxy,2-oxepinoxy radical,"",2-oxepinoxy,"{""Jeff Manion""}","{""2005-12-23 00:51:11""}",,
-32763705,C7H12,C7H12,(CH3)2CHCH=CHCH=CH2,"5-methylhexa-1,3-diene (mixture of E-and Z-isomers)5-methyl-1,3-hexadiene (mixture of E-and Z-isomers)5-methyl-1,3-hexadiene",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1216052,C2H5OCl3Si,C2H5Cl3OSi,SiCl3(OCH2CH3),Cl3SiOCH2CH3,ethoxytrichlorosilane,SiCl3(OCH2CH3),"{""Jeff Manion""}","{""2005-12-16 15:47:50""}",,
-1216055,C2HY,C2HY,C2HY,"","",C2HY,"{""Jeff Manion""}","{""2005-12-16 17:05:52""}",,
65632077,SiCH2,CH2Si,SiCH2,Silicon methylene,Silicon methylene,Silylidene,"{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
-1216054,"","","","","","","{""Jeff Manion""}","{""2005-12-16 17:36:25""}",,
-10158,CH2CO2,C2H2O2,CH3C(O)O(&middot),"","",CH3C(O)O(&middot),"{""W. Sean McGivern""}","{""2006-05-12 00:27:42.026159""}",,
63172087,CaO3,CaO3,CaO3,"",Calcium ozonide,"","{""Don Burgess""}","{""1999-01-01 12:00:00""}",,
2450717,HCCCH2NH2,C3H5N,HCCCH2NH2,"3-aminoprop-1-yne, propargylamine",HCCCH2NH2,HCCCH2NH2,"{""Jeff Manion""}","{""2006-02-17 11:49:26""}",,
